domain,ecotype,asn,country,http_status,publishers,file_formats,download_hosts,title_count,severity,active,latest_year,is_piracy
msx-games-file-hunter-com.it.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.jp.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.kr.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.mm.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.mr.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.my.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.nl.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.pl.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.pt.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.ro.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.rs.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,repack; ISO; ROM; APK,,8,5,True,2026,True
msx-games-file-hunter-com.ru.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.th.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,8,4,True,2026,True
msx-games-file-hunter-com.uptodown.com,unclassified,,,OK,Square Enix; Capcom; Sony; Activision; Rockstar; Sega; Konami,,,8,3,True,2025,True
msx.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; Activision; Sega; Konami; 2K Games,,,10,4,True,2026,False
mtgsalvation.com,unclassified,AS13335,US,OK,Square Enix; Ubisoft; Activision; Sega; Konami; Microsoft; Valve,ROM,,0,4,True,2026,False
mudlet.org,unclassified,AS13335,US,OK,Nintendo; Sony; Ubisoft; Activision; Konami; CD Projekt; Valve,ROM,,6,4,True,2026,False
muffingroup.com,unclassified,AS13335,US,OK,Nintendo; Sony; Ubisoft; Activision; Rockstar; Sega; Konami,,,4,3,True,2025,False
mugenfreeforall.com,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; Ubisoft; Activision; Sega,DDL,mega.nz; mediafire.com,1,4,True,2026,False
multcloud.com,unclassified,AS13335,US,OK,Nintendo; Ubisoft,DDL,,8,3,True,2026,False
multiup.io,unclassified,AS13335,US,OK,Square Enix; Capcom; EA; Activision; Rockstar; Konami,DDL,mega.nz; mediafire.com; gofile.io; 1fichier.com; rapidgator.net; buzzheavier.com; workupload.com; katfile.com; nitroflare.com,2,4,True,2026,True
multiup.org,unclassified,AS13335,US,OK,Square Enix; Capcom; EA; Activision; Rockstar; Konami,DDL,mega.nz; mediafire.com; gofile.io; 1fichier.com; rapidgator.net; buzzheavier.com; workupload.com; katfile.com; nitroflare.com,2,4,True,2026,True
mumbaimirror.indiatimes.com,unclassified,,,OK,Square Enix; Sony; Activision; Rockstar,,,0,4,True,2026,False
mumuplayer.com,unclassified,AS396982,US,OK,Nintendo; Square Enix; Activision; Rockstar; Bandai Namco; Sega,,,1,4,True,2026,False
munnamark.blogspot.com,unclassified,,,OK,Ubisoft; Activision; Rockstar; Konami,,,2,4,True,2026,True
music-download-cc-v1-5-300319.cdnandroid.com,mobile,AS13335,US,OK,,,,3,1,False,,False
music-player-mp3-player5.apk.cafe,mobile,AS60144,LV,OK,Nintendo; Capcom; Activision; Rockstar; Sega; Konami; 2K Games,ISO; APK,,4,4,True,2026,True
music-torrent.com,torrent,AS211381,NL,OK,Activision; Konami,torrent,,16,4,True,2026,True
music-torrent.net,torrent,AS60781,NL,OK,,,,0,1,False,,True
musictor.ru,unclassified,AS198610,RU,OK,Activision,,,1,3,True,2026,True
musictorrent.ru,torrent,AS204601,NL,OK,Activision; Bethesda; Konami,torrent,,1,3,False,2023,True
muslim-prayer-times-azan-quran-and-qibla-by-vmuslim.apk.cafe,mobile,AS60144,LV,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games,ISO; APK,,6,4,True,2026,True
mutantalienassault.com,unclassified,AS47583,GB,OK,Nintendo; Activision; Konami,,,8,2,False,,True
mx.ebay.com,unclassified,,,OK,Nintendo; Ubisoft; Activision; Sega; Konami; 2K Games,,,1,4,True,2026,True
my-editors.com,unclassified,AS48282,RU,OK,Activision; Valve,,,1,1,False,2024,True
my-files.en.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
my-life-riding-stables-3.luadist.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games; Valve,,,2,4,True,2026,True
my-perfect-hotel.en.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
my-talking-angela.en.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
my-talking-tom-2-outfit7-limited.en.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
my-talking-tom-friends.en.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
my-talking-tom.en.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM; APK,,8,4,True,2026,True
my-talking-tom.ru.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM; APK,,8,4,True,2026,True
my.drivemusic.me,unclassified,AS60144,LV,OK,,,,0,1,False,,False
my.games,unclassified,AS200784,NL,OK,Nintendo; Square Enix; Sony; EA; Activision; Konami,,,1,4,True,2026,False
myabandonware.com,unclassified,AS16276,FR,OK,Nintendo; EA; Ubisoft; Rockstar; Konami; CD Projekt; 2K Games,,,1,2,False,,False
myaccount.g5.com,unclassified,,,OK,Nintendo; Activision; Rockstar; Sega; 2K Games,,,7,4,True,2026,True
myandroid.org,mobile,AS13335,US,OK,Nintendo; Sony; EA; Activision; Konami; CD Projekt,,,3,4,True,2026,True
myarcadeplugin.com,unclassified,AS47583,UA,OK,Nintendo; Square Enix; Capcom; Sony; Activision; Rockstar; Valve,,,10,4,True,2026,True
mydebrid.com,unclassified,AS31898,US,OK,,DDL,mediafire.com; 1fichier.com; rapidgator.net,1,3,True,2026,False
myflixer.tw,unclassified,AS13335,US,OK,Activision; Sega,,,1,1,False,,True
mylifexp.com,unclassified,AS20940,US,OK,Square Enix; Sony; Rockstar; Sega; Konami,,,0,4,True,2026,True
mypcgames.net,unclassified,,,EMPTY,,,,0,0,False,,False
myplaycity.com,unclassified,AS63949,US,OK,Valve,,,0,3,True,2026,True
myrealgames.com,unclassified,AS7979,US,OK,Activision; Rockstar; Konami,,,5,2,False,2024,True
myrient.erista.me,unclassified,AS206264,SC,OK,Capcom,,,1,3,True,2026,False
mysoftwarefree.com,unclassified,AS13335,US,OK,Capcom; Activision; Rockstar; Konami,PKG,,0,4,True,2026,True
mywot.com,unclassified,AS16509,US,OK,Nintendo; Sony; Ubisoft; Activision; Sega; Konami; Valve,ROM,,3,3,True,2025,False
n3dsroms.com,ROM,AS13335,US,OK,Nintendo; Square Enix; Capcom; Sony; EA; Activision; Rockstar; Sega; Microsoft,ROM,,0,4,True,2026,True
n64-emulator-pro.softonic.ru,ROM,,,EMPTY,,,,0,0,False,,False
n64-emulator.cn.uptodown.com,ROM,,,OK,Nintendo; Square Enix; Capcom; Sony; Activision; Rockstar; Konami,,,6,2,False,2023,False
n64-emulator.uptodown.com,ROM,,,OK,Nintendo; Square Enix; Capcom; Sony; Activision; Rockstar; Bethesda; Sega; Konami,,,9,2,False,2024,True
na.alienwarearena.com,unclassified,,,OK,Square Enix; Ubisoft; Activision; Rockstar; Sega,ISO; PKG,,4,4,True,2026,False
na.finalfantasyxiv.com,unclassified,,,OK,Square Enix; Sony; Rockstar; Sega,,,1,4,True,2026,True
na.store.square-enix-games.com,unclassified,,,OK,Nintendo; Square Enix; Sony; Ubisoft; Activision; Sega; Konami; Microsoft,,,6,4,True,2026,True
nabe.aussievitamin.com,unclassified,,,EMPTY,,,,0,0,False,,False
nahalavu.com,unclassified,,,EMPTY,,,,0,0,False,,False
naked-body-scanner.soft112.com,unclassified,,,EMPTY,,,,0,0,False,,False
namedays-pro.soft112.com,unclassified,,,EMPTY,,,,0,0,False,,False
napkforpc.com,mobile,AS13335,US,OK,Capcom,,,0,1,False,,False
nationaltoday.com,unclassified,AS13335,US,OK,Nintendo; Ubisoft; Activision,,,10,4,True,2026,False
nb.vpnmentor.com,unclassified,AS13335,US,OK,Nintendo; Square Enix; Capcom; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; CD Projekt,ISO,,6,4,True,2026,True
nds-rom.narod.ru,ROM,AS44094,RU,OK,Nintendo; Square Enix; Capcom; Sony; EA; Ubisoft; Activision; Bethesda; Bandai Namco; Sega; Konami; FromSoftware; 2K Games; Microsoft; Valve,repack; ROM,,0,5,True,2026,True
ndsgamerom.blogspot.com,ROM,,,OK,Nintendo; EA; Activision,ROM,,8,4,True,2026,True
ndtvprofit.com,unclassified,AS13335,US,OK,,,,1,1,False,,False
need-for-speed-shift.luadist.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games; Valve,,,6,4,True,2026,True
neocoregames.com,unclassified,AS13335,US,OK,Capcom; Activision; Rockstar,,,13,4,True,2026,False
neodebrid.com,unclassified,AS13335,US,OK,Capcom; Ubisoft; Activision,DDL,gofile.io; 1fichier.com; rapidgator.net; katfile.com,2,3,True,2025,False
neogeo-pocket-color-selection-vol-1-steam-edition.luadist.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games; Valve,,,2,4,True,2026,True
nero-burning-rom.download-windows.org,ROM,AS210644,CH,OK,Nintendo; Sony; CD Projekt,torrent,,1,4,True,2025,True
nero.download-windows.org,unclassified,AS210644,CH,OK,Nintendo; Sony; CD Projekt,torrent,,1,4,True,2025,True
nesroms.ru,ROM,AS198610,RU,OK,Nintendo; Sony; Activision; Konami,ISO; ROM; PKG,,0,4,True,2026,False
netflix-mobile.en.aptoide.com,mobile,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
netgames.io,unclassified,AS16509,US,OK,Sony; Activision; Valve,,,9,2,False,,False
new-star-gp.luadist.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games; Valve,,,2,4,True,2026,True
new.wikipedia.org,unclassified,,,OK,Nintendo; Ubisoft; Activision; Sega; Konami; Valve,,,5,3,True,2025,True
newbietonovelist.com,unclassified,AS2635,US,OK,Nintendo; Sony; Activision; Sega; Konami; Valve,,,4,3,True,2024,False
newgame-inventor-inc.ar.aptoide.com,unclassified,,,OK,Nintendo; Capcom; Ubisoft; Activision; Rockstar; Sega; Konami,ROM,,9,4,True,2026,True
newgame-inventor-inc.bd.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.bg.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.cn.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,7,4,True,2026,True
newgame-inventor-inc.de.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.en.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.es.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.fr.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.gr.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.hu.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.id.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM; IPA,,9,4,True,2026,True
newgame-inventor-inc.in.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.ir.aptoide.com,unclassified,,,OK,Nintendo; Capcom; Ubisoft; Activision; Rockstar; Sega; Konami,ROM,,9,4,True,2026,True
newgame-inventor-inc.it.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.jp.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.kr.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.mm.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.mr.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.my.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.nl.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.pa.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.pl.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.pt.aptoide.com,unclassified,,,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
newgame-inventor-inc.ro.aptoide.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; EA; Ubisoft; Activision; Rockstar; Sega; Konami,ISO; ROM,,9,4,True,2026,True
